dataset	algorithm	proc	n_edges	GS_src	precision	recall	fscore
sridharan_A2S	knnDREMI	normalized	500	mESC_chipunion_KDUnion_intersect	0.2220	0.0155	0.0290
sridharan_A2S	knnDREMI	normalized	1000	mESC_chipunion_KDUnion_intersect	0.1920	0.0268	0.0471
sridharan_A2S	knnDREMI	normalized	3000	mESC_chipunion_KDUnion_intersect	0.1340	0.0562	0.0791
sridharan_A2S	knnDREMI	normalized	5000	mESC_chipunion_KDUnion_intersect	0.1106	0.0773	0.0910
sridharan_A2S	knnDREMI	normalized	10000	mESC_chipunion_KDUnion_intersect	0.0851	0.1189	0.0992
sridharan_A2S	knnDREMI	normalized	30000	mESC_chipunion_KDUnion_intersect	0.0741	0.3107	0.1197
sridharan_A2S	knnDREMI	normalized	50000	mESC_chipunion_KDUnion_intersect	0.0692	0.4831	0.1210
sridharan_A2S	knnDREMI	normalized	100	mESC_ATAC_Day4Day6Union	0.0700	0.0002	0.0003
sridharan_A2S	knnDREMI	normalized	300	mESC_ATAC_Day4Day6Union	0.0933	0.0007	0.0013
sridharan_A2S	knnDREMI	normalized	500	mESC_ATAC_Day4Day6Union	0.0900	0.0011	0.0021
sridharan_A2S	knnDREMI	normalized	1000	mESC_ATAC_Day4Day6Union	0.0910	0.0021	0.0042
sridharan_A2S	knnDREMI	normalized	3000	mESC_ATAC_Day4Day6Union	0.0860	0.0060	0.0113
sridharan_A2S	knnDREMI	normalized	5000	mESC_ATAC_Day4Day6Union	0.0918	0.0107	0.0192
sridharan_A2S	knnDREMI	normalized	10000	mESC_ATAC_Day4Day6Union	0.1035	0.0242	0.0392
sridharan_A2S	knnDREMI	normalized	30000	mESC_ATAC_Day4Day6Union	0.1016	0.0711	0.0837
sridharan_A2S	knnDREMI	normalized	50000	mESC_ATAC_Day4Day6Union	0.1026	0.1197	0.1105
sridharan_A2S	knnDREMI	normalized	100	mESC_lit	0.1500	0.0754	0.1003
sridharan_A2S	knnDREMI	normalized	300	mESC_lit	0.0933	0.1407	0.1122
sridharan_A2S	knnDREMI	normalized	500	mESC_lit	0.0820	0.2060	0.1173
sridharan_A2S	knnDREMI	normalized	1000	mESC_lit	0.0910	0.4573	0.1518
sridharan_A2S	knnDREMI	normalized	3000	mESC_lit	0.1040	1.0000	0.1884
sridharan_A2S	knnDREMI	normalized	5000	mESC_lit	0.1040	1.0000	0.1884
sridharan_A2S	knnDREMI	normalized	10000	mESC_lit	0.1040	1.0000	0.1884
sridharan_A2S	knnDREMI	normalized	30000	mESC_lit	0.1040	1.0000	0.1884
sridharan_A2S	knnDREMI	normalized	50000	mESC_lit	0.1040	1.0000	0.1884
sridharan_FBS	knnDREMI	normalized	100	mESC_escapechip	0.1300	0.0003	0.0007
sridharan_FBS	knnDREMI	normalized	300	mESC_escapechip	0.0833	0.0007	0.0013
sridharan_FBS	knnDREMI	normalized	500	mESC_escapechip	0.0960	0.0013	0.0025
sridharan_FBS	knnDREMI	normalized	1000	mESC_escapechip	0.1200	0.0031	0.0061
sridharan_FBS	knnDREMI	normalized	3000	mESC_escapechip	0.1543	0.0121	0.0225
sridharan_FBS	knnDREMI	normalized	5000	mESC_escapechip	0.1570	0.0206	0.0364
sridharan_FBS	knnDREMI	normalized	10000	mESC_escapechip	0.1723	0.0452	0.0716
sridharan_FBS	knnDREMI	normalized	30000	mESC_escapechip	0.1703	0.1340	0.1500
sridharan_FBS	knnDREMI	normalized	50000	mESC_escapechip	0.1620	0.2125	0.1838
sridharan_FBS	knnDREMI	normalized	100	mESC_encodechip	0.0400	0.0016	0.0030
sridharan_FBS	knnDREMI	normalized	300	mESC_encodechip	0.0633	0.0075	0.0134
sridharan_FBS	knnDREMI	normalized	500	mESC_encodechip	0.0900	0.0177	0.0296
sridharan_FBS	knnDREMI	normalized	1000	mESC_encodechip	0.0910	0.0358	0.0514
sridharan_FBS	knnDREMI	normalized	3000	mESC_encodechip	0.1537	0.1814	0.1664
sridharan_FBS	knnDREMI	normalized	5000	mESC_encodechip	0.1594	0.3135	0.2113
sridharan_FBS	knnDREMI	normalized	10000	mESC_encodechip	0.1872	0.7364	0.2985
sridharan_FBS	knnDREMI	normalized	30000	mESC_encodechip	0.1987	0.9992	0.3315
sridharan_FBS	knnDREMI	normalized	50000	mESC_encodechip	0.1987	0.9992	0.3315
sridharan_FBS	knnDREMI	normalized	100	mESC_chipunion	0.1300	0.0003	0.0007
sridharan_FBS	knnDREMI	normalized	300	mESC_chipunion	0.0867	0.0007	0.0013
sridharan_FBS	knnDREMI	normalized	500	mESC_chipunion	0.0980	0.0013	0.0025
sridharan_FBS	knnDREMI	normalized	1000	mESC_chipunion	0.1230	0.0032	0.0062
sridharan_FBS	knnDREMI	normalized	3000	mESC_chipunion	0.1610	0.0124	0.0231
sridharan_FBS	knnDREMI	normalized	5000	mESC_chipunion	0.1636	0.0211	0.0373
sridharan_FBS	knnDREMI	normalized	10000	mESC_chipunion	0.1789	0.0461	0.0733
sridharan_FBS	knnDREMI	normalized	30000	mESC_chipunion	0.1752	0.1354	0.1528
sridharan_FBS	knnDREMI	normalized	50000	mESC_chipunion	0.1659	0.2137	0.1868
sridharan_FBS	knnDREMI	normalized	100	mESC_logof	0.2900	0.0009	0.0018
sridharan_FBS	knnDREMI	normalized	300	mESC_logof	0.3133	0.0030	0.0059
sridharan_FBS	knnDREMI	normalized	500	mESC_logof	0.3160	0.0050	0.0099
sridharan_FBS	knnDREMI	normalized	1000	mESC_logof	0.2980	0.0095	0.0184
sridharan_FBS	knnDREMI	normalized	3000	mESC_logof	0.2633	0.0252	0.0460
sridharan_FBS	knnDREMI	normalized	5000	mESC_logof	0.2564	0.0409	0.0706
sridharan_FBS	knnDREMI	normalized	10000	mESC_logof	0.2142	0.0684	0.1037
sridharan_FBS	knnDREMI	normalized	30000	mESC_logof	0.1405	0.1345	0.1374
sridharan_FBS	knnDREMI	normalized	50000	mESC_logof	0.1206	0.1926	0.1484
sridharan_FBS	knnDREMI	normalized	100	mESC_nishiyama	0.1100	0.0003	0.0005
sridharan_FBS	knnDREMI	normalized	300	mESC_nishiyama	0.1367	0.0010	0.0019
sridharan_FBS	knnDREMI	normalized	500	mESC_nishiyama	0.1600	0.0019	0.0037
sridharan_FBS	knnDREMI	normalized	1000	mESC_nishiyama	0.1570	0.0036	0.0071
sridharan_FBS	knnDREMI	normalized	3000	mESC_nishiyama	0.1323	0.0092	0.0172
sridharan_FBS	knnDREMI	normalized	5000	mESC_nishiyama	0.1164	0.0135	0.0242
sridharan_FBS	knnDREMI	normalized	10000	mESC_nishiyama	0.1044	0.0242	0.0393
sridharan_FBS	knnDREMI	normalized	30000	mESC_nishiyama	0.0884	0.0615	0.0726
sridharan_FBS	knnDREMI	normalized	50000	mESC_nishiyama	0.0755	0.0876	0.0811
sridharan_FBS	knnDREMI	normalized	100	mESC_KDUnion	0.1900	0.0003	0.0007
sridharan_FBS	knnDREMI	normalized	300	mESC_KDUnion	0.2133	0.0012	0.0023
sridharan_FBS	knnDREMI	normalized	500	mESC_KDUnion	0.2380	0.0022	0.0043
sridharan_FBS	knnDREMI	normalized	1000	mESC_KDUnion	0.2330	0.0042	0.0083
sridharan_FBS	knnDREMI	normalized	3000	mESC_KDUnion	0.1893	0.0103	0.0195
sridharan_FBS	knnDREMI	normalized	5000	mESC_KDUnion	0.1642	0.0149	0.0273
sridharan_FBS	knnDREMI	normalized	10000	mESC_KDUnion	0.1443	0.0261	0.0443
sridharan_FBS	knnDREMI	normalized	30000	mESC_KDUnion	0.1156	0.0628	0.0814
sridharan_FBS	knnDREMI	normalized	50000	mESC_KDUnion	0.0975	0.0883	0.0927
sridharan_FBS	knnDREMI	normalized	100	mESC_chipunion_KDUnion_intersect	0.0300	0.0004	0.0009
sridharan_FBS	knnDREMI	normalized	300	mESC_chipunion_KDUnion_intersect	0.0533	0.0023	0.0044
sridharan_FBS	knnDREMI	normalized	500	mESC_chipunion_KDUnion_intersect	0.0860	0.0062	0.0116
sridharan_FBS	knnDREMI	normalized	1000	mESC_chipunion_KDUnion_intersect	0.1200	0.0173	0.0303
sridharan_FBS	knnDREMI	normalized	3000	mESC_chipunion_KDUnion_intersect	0.1087	0.0471	0.0657
sridharan_FBS	knnDREMI	normalized	5000	mESC_chipunion_KDUnion_intersect	0.0946	0.0684	0.0794
sridharan_FBS	knnDREMI	normalized	10000	mESC_chipunion_KDUnion_intersect	0.0764	0.1104	0.0903
sridharan_FBS	knnDREMI	normalized	30000	mESC_chipunion_KDUnion_intersect	0.0597	0.2587	0.0970
sridharan_FBS	knnDREMI	normalized	50000	mESC_chipunion_KDUnion_intersect	0.0603	0.4355	0.1059
sridharan_FBS	knnDREMI	normalized	100	mESC_ATAC_Day4Day6Union	0.0700	0.0002	0.0003
sridharan_FBS	knnDREMI	normalized	300	mESC_ATAC_Day4Day6Union	0.0733	0.0005	0.0010
sridharan_FBS	knnDREMI	normalized	500	mESC_ATAC_Day4Day6Union	0.0720	0.0008	0.0017
sridharan_FBS	knnDREMI	normalized	1000	mESC_ATAC_Day4Day6Union	0.0910	0.0021	0.0042
sridharan_FBS	knnDREMI	normalized	3000	mESC_ATAC_Day4Day6Union	0.1067	0.0075	0.0140
sridharan_FBS	knnDREMI	normalized	5000	mESC_ATAC_Day4Day6Union	0.1218	0.0143	0.0256
sridharan_FBS	knnDREMI	normalized	10000	mESC_ATAC_Day4Day6Union	0.1246	0.0292	0.0473
sridharan_FBS	knnDREMI	normalized	30000	mESC_ATAC_Day4Day6Union	0.1268	0.0892	0.1048
sridharan_FBS	knnDREMI	normalized	50000	mESC_ATAC_Day4Day6Union	0.1270	0.1488	0.1370
sridharan_FBS	knnDREMI	normalized	100	mESC_lit	0.1100	0.0558	0.0741
sridharan_FBS	knnDREMI	normalized	300	mESC_lit	0.0633	0.0964	0.0765
sridharan_FBS	knnDREMI	normalized	500	mESC_lit	0.0700	0.1777	0.1004
sridharan_FBS	knnDREMI	normalized	1000	mESC_lit	0.0840	0.4264	0.1404
sridharan_FBS	knnDREMI	normalized	3000	mESC_lit	0.1045	1.0000	0.1892
sridharan_FBS	knnDREMI	normalized	5000	mESC_lit	0.1045	1.0000	0.1892
sridharan_FBS	knnDREMI	normalized	10000	mESC_lit	0.1045	1.0000	0.1892
sridharan_FBS	knnDREMI	normalized	30000	mESC_lit	0.1045	1.0000	0.1892
sridharan_FBS	knnDREMI	normalized	50000	mESC_lit	0.1045	1.0000	0.1892
shalek_GSE48968	knnDREMI	normalized	100	mDC_chipunion	0.1700	0.0002	0.0004
shalek_GSE48968	knnDREMI	normalized	300	mDC_chipunion	0.2267	0.0007	0.0014
shalek_GSE48968	knnDREMI	normalized	500	mDC_chipunion	0.2260	0.0012	0.0023
shalek_GSE48968	knnDREMI	normalized	1000	mDC_chipunion	0.2160	0.0022	0.0044
shalek_GSE48968	knnDREMI	normalized	3000	mDC_chipunion	0.2577	0.0080	0.0156
shalek_GSE48968	knnDREMI	normalized	5000	mDC_chipunion	0.2728	0.0142	0.0269
shalek_GSE48968	knnDREMI	normalized	10000	mDC_chipunion	0.3180	0.0330	0.0598
shalek_GSE48968	knnDREMI	normalized	30000	mDC_chipunion	0.3931	0.1223	0.1866
shalek_GSE48968	knnDREMI	normalized	50000	mDC_chipunion	0.4400	0.2282	0.3006
shalek_GSE48968	knnDREMI	normalized	100	mDC_KDUnion	0.2300	0.0002	0.0003
shalek_GSE48968	knnDREMI	normalized	300	mDC_KDUnion	0.2533	0.0005	0.0011
shalek_GSE48968	knnDREMI	normalized	500	mDC_KDUnion	0.2540	0.0009	0.0018
shalek_GSE48968	knnDREMI	normalized	1000	mDC_KDUnion	0.2200	0.0015	0.0031
shalek_GSE48968	knnDREMI	normalized	3000	mDC_KDUnion	0.1890	0.0040	0.0078
shalek_GSE48968	knnDREMI	normalized	5000	mDC_KDUnion	0.1934	0.0068	0.0131
shalek_GSE48968	knnDREMI	normalized	10000	mDC_KDUnion	0.2315	0.0163	0.0304
shalek_GSE48968	knnDREMI	normalized	30000	mDC_KDUnion	0.3187	0.0672	0.1110
shalek_GSE48968	knnDREMI	normalized	50000	mDC_KDUnion	0.3280	0.1152	0.1705
shalek_GSE48968	knnDREMI	normalized	100	mDC_chipunion_KDUnion_intersect	0.0900	0.0001	0.0003
shalek_GSE48968	knnDREMI	normalized	300	mDC_chipunion_KDUnion_intersect	0.1100	0.0005	0.0010
shalek_GSE48968	knnDREMI	normalized	500	mDC_chipunion_KDUnion_intersect	0.1040	0.0008	0.0015
shalek_GSE48968	knnDREMI	normalized	1000	mDC_chipunion_KDUnion_intersect	0.0900	0.0013	0.0026
shalek_GSE48968	knnDREMI	normalized	3000	mDC_chipunion_KDUnion_intersect	0.1037	0.0046	0.0088
shalek_GSE48968	knnDREMI	normalized	5000	mDC_chipunion_KDUnion_intersect	0.1176	0.0087	0.0162
shalek_GSE48968	knnDREMI	normalized	10000	mDC_chipunion_KDUnion_intersect	0.1560	0.0230	0.0402
shalek_GSE48968	knnDREMI	normalized	30000	mDC_chipunion_KDUnion_intersect	0.2384	0.1056	0.1464
shalek_GSE48968	knnDREMI	normalized	50000	mDC_chipunion_KDUnion_intersect	0.3102	0.2291	0.2635
zhao_GSE114952	knnDREMI	normalized	100	mESC_escapechip	0.2100	0.0004	0.0009
zhao_GSE114952	knnDREMI	normalized	300	mESC_escapechip	0.1900	0.0012	0.0023
zhao_GSE114952	knnDREMI	normalized	500	mESC_escapechip	0.1720	0.0018	0.0035
zhao_GSE114952	knnDREMI	normalized	1000	mESC_escapechip	0.1530	0.0031	0.0062
zhao_GSE114952	knnDREMI	normalized	3000	mESC_escapechip	0.1397	0.0086	0.0162
zhao_GSE114952	knnDREMI	normalized	5000	mESC_escapechip	0.1430	0.0147	0.0267
zhao_GSE114952	knnDREMI	normalized	10000	mESC_escapechip	0.1452	0.0299	0.0495
zhao_GSE114952	knnDREMI	normalized	30000	mESC_escapechip	0.1398	0.0862	0.1067
zhao_GSE114952	knnDREMI	normalized	50000	mESC_escapechip	0.1459	0.1500	0.1479
zhao_GSE114952	knnDREMI	normalized	100	mESC_encodechip	0.1900	0.0061	0.0119
zhao_GSE114952	knnDREMI	normalized	300	mESC_encodechip	0.1867	0.0180	0.0329
zhao_GSE114952	knnDREMI	normalized	500	mESC_encodechip	0.2140	0.0345	0.0594
zhao_GSE114952	knnDREMI	normalized	1000	mESC_encodechip	0.2230	0.0718	0.1086
zhao_GSE114952	knnDREMI	normalized	3000	mESC_encodechip	0.2280	0.2203	0.2241
zhao_GSE114952	knnDREMI	normalized	5000	mESC_encodechip	0.2256	0.3633	0.2783
zhao_GSE114952	knnDREMI	normalized	10000	mESC_encodechip	0.2061	0.6638	0.3145
zhao_GSE114952	knnDREMI	normalized	30000	mESC_encodechip	0.1935	0.9994	0.3242
zhao_GSE114952	knnDREMI	normalized	50000	mESC_encodechip	0.1935	0.9994	0.3242
zhao_GSE114952	knnDREMI	normalized	100	mESC_chipunion	0.2100	0.0004	0.0008
zhao_GSE114952	knnDREMI	normalized	300	mESC_chipunion	0.1900	0.0012	0.0023
zhao_GSE114952	knnDREMI	normalized	500	mESC_chipunion	0.1720	0.0017	0.0034
zhao_GSE114952	knnDREMI	normalized	1000	mESC_chipunion	0.1530	0.0031	0.0061
zhao_GSE114952	knnDREMI	normalized	3000	mESC_chipunion	0.1397	0.0085	0.0160
zhao_GSE114952	knnDREMI	normalized	5000	mESC_chipunion	0.1430	0.0145	0.0263
zhao_GSE114952	knnDREMI	normalized	10000	mESC_chipunion	0.1452	0.0293	0.0488
zhao_GSE114952	knnDREMI	normalized	30000	mESC_chipunion	0.1398	0.0848	0.1055
zhao_GSE114952	knnDREMI	normalized	50000	mESC_chipunion	0.1459	0.1474	0.1466
zhao_GSE114952	knnDREMI	normalized	100	mESC_logof	0.0100	0.0000	0.0000
zhao_GSE114952	knnDREMI	normalized	300	mESC_logof	0.0100	0.0001	0.0001
zhao_GSE114952	knnDREMI	normalized	500	mESC_logof	0.0180	0.0002	0.0003
zhao_GSE114952	knnDREMI	normalized	1000	mESC_logof	0.0160	0.0003	0.0006
zhao_GSE114952	knnDREMI	normalized	3000	mESC_logof	0.0120	0.0006	0.0012
zhao_GSE114952	knnDREMI	normalized	5000	mESC_logof	0.0126	0.0011	0.0021
zhao_GSE114952	knnDREMI	normalized	10000	mESC_logof	0.0163	0.0029	0.0049
zhao_GSE114952	knnDREMI	normalized	30000	mESC_logof	0.0341	0.0182	0.0237
zhao_GSE114952	knnDREMI	normalized	50000	mESC_logof	0.0477	0.0423	0.0449
zhao_GSE114952	knnDREMI	normalized	100	mESC_nishiyama	0.0000	0.0000	0.0000
zhao_GSE114952	knnDREMI	normalized	300	mESC_nishiyama	0.0000	0.0000	0.0000
zhao_GSE114952	knnDREMI	normalized	500	mESC_nishiyama	0.0000	0.0000	0.0000
zhao_GSE114952	knnDREMI	normalized	1000	mESC_nishiyama	0.0000	0.0000	0.0000
zhao_GSE114952	knnDREMI	normalized	3000	mESC_nishiyama	0.0003	0.0000	0.0000
zhao_GSE114952	knnDREMI	normalized	5000	mESC_nishiyama	0.0004	0.0000	0.0000
zhao_GSE114952	knnDREMI	normalized	10000	mESC_nishiyama	0.0014	0.0002	0.0003
zhao_GSE114952	knnDREMI	normalized	30000	mESC_nishiyama	0.0042	0.0015	0.0022
zhao_GSE114952	knnDREMI	normalized	50000	mESC_nishiyama	0.0092	0.0055	0.0068
zhao_GSE114952	knnDREMI	normalized	100	mESC_KDUnion	0.0000	0.0000	0.0000
zhao_GSE114952	knnDREMI	normalized	300	mESC_KDUnion	0.0033	0.0000	0.0000
zhao_GSE114952	knnDREMI	normalized	500	mESC_KDUnion	0.0040	0.0000	0.0000
zhao_GSE114952	knnDREMI	normalized	1000	mESC_KDUnion	0.0090	0.0001	0.0002
zhao_GSE114952	knnDREMI	normalized	3000	mESC_KDUnion	0.0083	0.0002	0.0005
zhao_GSE114952	knnDREMI	normalized	5000	mESC_KDUnion	0.0070	0.0003	0.0006
zhao_GSE114952	knnDREMI	normalized	10000	mESC_KDUnion	0.0074	0.0007	0.0013
zhao_GSE114952	knnDREMI	normalized	30000	mESC_KDUnion	0.0094	0.0027	0.0042
zhao_GSE114952	knnDREMI	normalized	50000	mESC_KDUnion	0.0150	0.0072	0.0098
zhao_GSE114952	knnDREMI	normalized	100	mESC_chipunion_KDUnion_intersect	0.0100	0.0001	0.0002
zhao_GSE114952	knnDREMI	normalized	300	mESC_chipunion_KDUnion_intersect	0.0033	0.0001	0.0002
zhao_GSE114952	knnDREMI	normalized	500	mESC_chipunion_KDUnion_intersect	0.0020	0.0001	0.0002
zhao_GSE114952	knnDREMI	normalized	1000	mESC_chipunion_KDUnion_intersect	0.0010	0.0001	0.0002
zhao_GSE114952	knnDREMI	normalized	3000	mESC_chipunion_KDUnion_intersect	0.0050	0.0017	0.0025
zhao_GSE114952	knnDREMI	normalized	5000	mESC_chipunion_KDUnion_intersect	0.0060	0.0033	0.0043
zhao_GSE114952	knnDREMI	normalized	10000	mESC_chipunion_KDUnion_intersect	0.0146	0.0162	0.0154
zhao_GSE114952	knnDREMI	normalized	30000	mESC_chipunion_KDUnion_intersect	0.0305	0.1016	0.0470
zhao_GSE114952	knnDREMI	normalized	50000	mESC_chipunion_KDUnion_intersect	0.0381	0.2112	0.0645
zhao_GSE114952	knnDREMI	normalized	100	mESC_ATAC_Day4Day6Union	0.3000	0.0005	0.0009
zhao_GSE114952	knnDREMI	normalized	300	mESC_ATAC_Day4Day6Union	0.3033	0.0014	0.0028
zhao_GSE114952	knnDREMI	normalized	500	mESC_ATAC_Day4Day6Union	0.3240	0.0025	0.0049
zhao_GSE114952	knnDREMI	normalized	1000	mESC_ATAC_Day4Day6Union	0.3300	0.0050	0.0099
zhao_GSE114952	knnDREMI	normalized	3000	mESC_ATAC_Day4Day6Union	0.3457	0.0158	0.0303
zhao_GSE114952	knnDREMI	normalized	5000	mESC_ATAC_Day4Day6Union	0.3328	0.0254	0.0472
zhao_GSE114952	knnDREMI	normalized	10000	mESC_ATAC_Day4Day6Union	0.2734	0.0418	0.0725
zhao_GSE114952	knnDREMI	normalized	30000	mESC_ATAC_Day4Day6Union	0.1789	0.0820	0.1125
zhao_GSE114952	knnDREMI	normalized	50000	mESC_ATAC_Day4Day6Union	0.1489	0.1138	0.1290
zhao_GSE114952	knnDREMI	normalized	100	mESC_lit	0.0200	0.0098	0.0131
zhao_GSE114952	knnDREMI	normalized	300	mESC_lit	0.0500	0.0732	0.0594
zhao_GSE114952	knnDREMI	normalized	500	mESC_lit	0.0500	0.1220	0.0709
zhao_GSE114952	knnDREMI	normalized	1000	mESC_lit	0.0690	0.3366	0.1145
zhao_GSE114952	knnDREMI	normalized	3000	mESC_lit	0.0996	1.0000	0.1811
zhao_GSE114952	knnDREMI	normalized	5000	mESC_lit	0.0996	1.0000	0.1811
zhao_GSE114952	knnDREMI	normalized	10000	mESC_lit	0.0996	1.0000	0.1811
zhao_GSE114952	knnDREMI	normalized	30000	mESC_lit	0.0996	1.0000	0.1811
zhao_GSE114952	knnDREMI	normalized	50000	mESC_lit	0.0996	1.0000	0.1811
jackson_GSE125162	knnDREMI	normalized	100	hu	0.0000	0.0000	0.0000
jackson_GSE125162	knnDREMI	normalized	300	hu	0.0033	0.0001	0.0002
jackson_GSE125162	knnDREMI	normalized	500	hu	0.0040	0.0002	0.0004
jackson_GSE125162	knnDREMI	normalized	1000	hu	0.0050	0.0005	0.0010
jackson_GSE125162	knnDREMI	normalized	3000	hu	0.0070	0.0022	0.0034
jackson_GSE125162	knnDREMI	normalized	5000	hu	0.0066	0.0035	0.0046
jackson_GSE125162	knnDREMI	normalized	10000	hu	0.0059	0.0062	0.0061
jackson_GSE125162	knnDREMI	normalized	30000	hu	0.0093	0.0295	0.0141
jackson_GSE125162	knnDREMI	normalized	50000	hu	0.0116	0.0613	0.0195
jackson_GSE125162	knnDREMI	normalized	100	mac2	0.0000	0.0000	0.0000
jackson_GSE125162	knnDREMI	normalized	300	mac2	0.0200	0.0016	0.0030
jackson_GSE125162	knnDREMI	normalized	500	mac2	0.0160	0.0022	0.0038
jackson_GSE125162	knnDREMI	normalized	1000	mac2	0.0190	0.0052	0.0082
jackson_GSE125162	knnDREMI	normalized	3000	mac2	0.0200	0.0164	0.0180
jackson_GSE125162	knnDREMI	normalized	5000	mac2	0.0212	0.0290	0.0245
jackson_GSE125162	knnDREMI	normalized	10000	mac2	0.0219	0.0599	0.0321
jackson_GSE125162	knnDREMI	normalized	30000	mac2	0.0208	0.1705	0.0371
jackson_GSE125162	knnDREMI	normalized	50000	mac2	0.0204	0.2788	0.0380
jackson_GSE125162	knnDREMI	normalized	100	yeastract_c3	0.0200	0.0005	0.0011
jackson_GSE125162	knnDREMI	normalized	300	yeastract_c3	0.0200	0.0016	0.0030
jackson_GSE125162	knnDREMI	normalized	500	yeastract_c3	0.0220	0.0030	0.0053
jackson_GSE125162	knnDREMI	normalized	1000	yeastract_c3	0.0250	0.0068	0.0107
jackson_GSE125162	knnDREMI	normalized	3000	yeastract_c3	0.0210	0.0171	0.0189
jackson_GSE125162	knnDREMI	normalized	5000	yeastract_c3	0.0210	0.0286	0.0242
jackson_GSE125162	knnDREMI	normalized	10000	yeastract_c3	0.0183	0.0498	0.0268
jackson_GSE125162	knnDREMI	normalized	30000	yeastract_c3	0.0157	0.1285	0.0280
jackson_GSE125162	knnDREMI	normalized	50000	yeastract_c3	0.0161	0.2191	0.0300
jackson_GSE125162	knnDREMI	normalized	100	yeastract_t2	0.0100	0.0002	0.0005
jackson_GSE125162	knnDREMI	normalized	300	yeastract_t2	0.0233	0.0017	0.0032
jackson_GSE125162	knnDREMI	normalized	500	yeastract_t2	0.0200	0.0025	0.0044
jackson_GSE125162	knnDREMI	normalized	1000	yeastract_t2	0.0180	0.0044	0.0071
jackson_GSE125162	knnDREMI	normalized	3000	yeastract_t2	0.0180	0.0133	0.0153
jackson_GSE125162	knnDREMI	normalized	5000	yeastract_t2	0.0178	0.0220	0.0197
jackson_GSE125162	knnDREMI	normalized	10000	yeastract_t2	0.0149	0.0368	0.0212
jackson_GSE125162	knnDREMI	normalized	30000	yeastract_t2	0.0142	0.1050	0.0250
jackson_GSE125162	knnDREMI	normalized	50000	yeastract_t2	0.0153	0.1895	0.0284
jackson_GSE125162	knnDREMI	normalized	100	yeast_chipunion	0.0200	0.0001	0.0002
jackson_GSE125162	knnDREMI	normalized	300	yeast_chipunion	0.0300	0.0004	0.0007
jackson_GSE125162	knnDREMI	normalized	500	yeast_chipunion	0.0240	0.0005	0.0010
jackson_GSE125162	knnDREMI	normalized	1000	yeast_chipunion	0.0250	0.0010	0.0020
jackson_GSE125162	knnDREMI	normalized	3000	yeast_chipunion	0.0233	0.0029	0.0051
jackson_GSE125162	knnDREMI	normalized	5000	yeast_chipunion	0.0224	0.0046	0.0076
jackson_GSE125162	knnDREMI	normalized	10000	yeast_chipunion	0.0267	0.0110	0.0155
jackson_GSE125162	knnDREMI	normalized	30000	yeast_chipunion	0.0277	0.0341	0.0305
jackson_GSE125162	knnDREMI	normalized	50000	yeast_chipunion	0.0286	0.0587	0.0384
jackson_GSE125162	knnDREMI	normalized	100	yeast_KDUnion	0.0000	0.0000	0.0000
jackson_GSE125162	knnDREMI	normalized	300	yeast_KDUnion	0.0133	0.0001	0.0003
jackson_GSE125162	knnDREMI	normalized	500	yeast_KDUnion	0.0300	0.0005	0.0011
jackson_GSE125162	knnDREMI	normalized	1000	yeast_KDUnion	0.0240	0.0009	0.0017
jackson_GSE125162	knnDREMI	normalized	3000	yeast_KDUnion	0.0217	0.0024	0.0043
jackson_GSE125162	knnDREMI	normalized	5000	yeast_KDUnion	0.0206	0.0038	0.0064
jackson_GSE125162	knnDREMI	normalized	10000	yeast_KDUnion	0.0206	0.0075	0.0110
jackson_GSE125162	knnDREMI	normalized	30000	yeast_KDUnion	0.0179	0.0196	0.0187
jackson_GSE125162	knnDREMI	normalized	50000	yeast_KDUnion	0.0177	0.0323	0.0228
jackson_GSE125162	knnDREMI	normalized	100	yeast_chipunion_KDUnion_intersect	0.0800	0.0030	0.0058
jackson_GSE125162	knnDREMI	normalized	300	yeast_chipunion_KDUnion_intersect	0.0433	0.0049	0.0088
jackson_GSE125162	knnDREMI	normalized	500	yeast_chipunion_KDUnion_intersect	0.0400	0.0075	0.0127
jackson_GSE125162	knnDREMI	normalized	1000	yeast_chipunion_KDUnion_intersect	0.0320	0.0121	0.0175
jackson_GSE125162	knnDREMI	normalized	3000	yeast_chipunion_KDUnion_intersect	0.0273	0.0309	0.0290
jackson_GSE125162	knnDREMI	normalized	5000	yeast_chipunion_KDUnion_intersect	0.0250	0.0471	0.0327
jackson_GSE125162	knnDREMI	normalized	10000	yeast_chipunion_KDUnion_intersect	0.0215	0.0810	0.0340
jackson_GSE125162	knnDREMI	normalized	30000	yeast_chipunion_KDUnion_intersect	0.0165	0.1861	0.0303
jackson_GSE125162	knnDREMI	normalized	50000	yeast_chipunion_KDUnion_intersect	0.0158	0.2972	0.0300
gasch_GSE102475	LEAP	normalized	100	hu	0.0000	0.0000	0.0000
gasch_GSE102475	LEAP	normalized	300	hu	0.0000	0.0000	0.0000
gasch_GSE102475	LEAP	normalized	500	hu	0.0140	0.0011	0.0020
gasch_GSE102475	LEAP	normalized	1000	hu	0.0080	0.0013	0.0022
gasch_GSE102475	LEAP	normalized	3000	hu	0.0093	0.0044	0.0060
gasch_GSE102475	LEAP	normalized	5000	hu	0.0124	0.0097	0.0109
gasch_GSE102475	LEAP	normalized	10000	hu	0.0251	0.0394	0.0307
gasch_GSE102475	LEAP	normalized	30000	hu	0.0294	0.1385	0.0485
